phrase,n,,sutta count (incomplete)
,,,
ta_ kissa hetu,221,Why is that?,
eva_ me suta_,152,So I have heard,
"tassa mayha_, ***, etadahosi",117,"then it occurred to me, (s_riputta/friend…)",
idamavoca bhagav_,101,this is what the blessed one said,
"no heta_, bhante",93,"No, venerable sir",
bhagav_ etadavoca,83,the blessed one said,
eka_ samaya_ bhagav_ s_vatthiya_ viharati jetavane an_thapi__ikassa _r_me/ r_jagahe viharati ve_uvane kalandakaniv_pe,83,"at one time the blessed one was staying (near S_vatth_ in Jeta’s Grove, An_thapi__ika’s monastery/ near R_jagaha, in the bamboo grove , the squirrels’ feeding ground)",
"no hida_, _vuso/bho gotama/ s_riputta",80,"no, it is not, friend/ sir gotama/ sariputta",
attaman_ (te bhikkh_/_yasm_ _nando) bhagavato bh_sita_ abhinandunti/abhinand_ti,66,"Satisfied, the monastics/ananda delighted in the what the Blessed One said",
"eva_, bhante",64,"It is so, Venerable sir; Yes, Venerable Sir",
upasa_kamitv_ bhagavanta_ abhiv_detv_ ekamanta_ nis_di/_su,56,"having approached the blessed one, they paid respect and sat down to one side",
"s_dhu s_dhu, ***",54,very good! Very good! Anuruddh_/sister/monastics,
"sevitabbampi, asevitabbampi",46,"that which you should cultivate, and that which you should not cultivate.",
kiñceta_ pa_icca vutta_,44,but why did he say that?,
tatra kho bhagav_ bhikkh_ _mantesi,44,There the buddha addressed the mendicants,
bhadanteti te bhikkh_ bhagavato paccassosu_,43,Venerable Sir' the monastics replied (to the Blessed one),
"sace pana, s_riputta/bhikkhu/avuso, bhikkhu paccavekkham_no eva_ j_n_ti",42,"Suppose that, upon checking, a monastic/you  know/s knows that",
iti kho paneta_ vutta_,39,that is what was said,
so evam_ha,38,he says,
iti ya_ ta_ vutta_ idameta_ pa_icca vutta_,37,"That’s what I said, and this is why I said it.",
sammodan_ya_ katha_ s_ra__ya_ v_tis_retv_ ekamanta_ nis_di,37,"When the greetings and polite conversation were over, he sat down to one side",
ayampi dhammo dovacassakara_o/ sovacassakara_o,36,This is a quality that makes them difficult/easy to admonish,only in mn15
"ett_vat_pi kho, _vuso, ariyas_vako samm_di__hi hoti, ujugat_ssa di__hi, dhamme aveccappas_dena samann_gato, _gato ima_ saddhamma_",36,"When they’ve done this, they’re defined as a noble disciple who has right view, whose view is correct, who has experiential confidence in the teaching, and has come to the true teaching.",only in MN9
neta_ _h_na_ vijjati,36,That is not possible,17
so eva_ paj_n_ti,36,They understand (it in this way),
"ayampi, bhikkhave, a/sappurisadhammo",34,This too is a quality of a good/bad person,only in MN113
tassa evamassa,32,so it is in this way,
so iti pa_isañcikkhati,31,They reflect;,3
"yassatth_ya kulaputt_ sammadeva ag_rasm_ anag_riya_ pabbajanti, tadanuttara_",31,having achieved with his own insight the goal for which gentlemen rightly go forth from the lay life to homelessness,13
upasa_kamitv_ bhagavat_ saddhi_ sammodi,28,"having approached the blessed one, he exchanged greetings with him",25
"eta_ mama, esohamasmi, eso me att_",27,"This is mine, I am this, this is my self",5
ya_ pan_nicca_ dukkha_ v_ ta_ sukha_ v_,27,"But if it’s impermanent, is it suffering or happiness?",5
"ya_ pan_nicca_ dukkha_ vipari__madhamma_, kalla_ nu ta_ samanupassitu_",26,"But if it’s impermanent, suffering, and perishable, is it fit to be regarded thus:",5
"dukkha_, bhante",25,"Suffering, Venerable Sir",4
"Ta_ su__tha, s_dhuka_ manasi karotha, bh_siss_m_",25,"Listen and pay close attention, I will speak.”",13
apariññ_ta_ tass_'ti vad_mi,24,"Because they haven’t completely understood it, I say.",mn1
so eva_ vadeyya,23,he would say,7
