"phrase","n"
"bho gotama",372
"puna capara<U+1E41>",304
"evameva kho",251
"ta<U+1E41> kissa hetu",221
"eva<U+1E41> vutte",200
"ta<U+1E41> ki<U+1E41> maññasi",198
"tassa mayha<U+1E41>",181
"eva<U+1E41> me suta<U+1E41>",152
"so kho aha<U+1E41>",135
"eva<U+1E41> kho",133
"atha kho",110
"idamavoca bhagava",101
"no heta<U+1E41>",96
"no hida<U+1E41>",88
"yathabhuta<U+1E41> pajana",85
"bhagava etadavoca",83
"eka<U+1E41> samaya<U+1E41> bhagava savatthiya<U+1E41> vihara",76
"jetavane anathapi<U+1E47><U+1E0D>ikassa arame",75
"aya<U+1E41> vucca",72
"bho sariputta",65
"tathagato para<U+1E41> mara<U+1E47>a",65
"sammodaniya<U+1E41> katha<U+1E41> sara<U+1E47>iya<U+1E41> vi",64
"idameva sacca<U+1E41> moghamaññan",62
"bhikkhu paccavekkhamano eva<U+1E41> jana",60
"tena hi",60
"kho paneta<U+1E41> vutta<U+1E41>",58
"yato kho",56
"eso me atta",53
"ya<U+1E41> jhana<U+1E41> upasampajja vihara",53
"ambho purisa",52
"attamana te bhikkhu bhagavato bhasita<U+1E41> abhinandun",52
"kiñceta<U+1E41> pa<U+1E6D>icca vutta<U+1E41>",52
"na para<U+1E41> vambhe",52
"na meso atta",51
"ta<U+1E41> ki<U+1E41> maññatha",49
"avuso sariputta",48
"duvidhena vadami",48
"sadhu sadhu",47
"tañca pajana",47
"<U+1E6D>hana<U+1E41> kho paneta<U+1E41>",46
"upasa<U+1E45>kamitva bhagavanta<U+1E41> abhivadetva ekamanta<U+1E41> nisidi",46
"yo kho",46
"sallekho kara<U+1E47>iyo",45
"avuso visakha",44
"ettavatapi kho",44
"idha pana",44
"kata<U+1E41> kara<U+1E47>iya<U+1E41>",44
"napara<U+1E41> itthattaya",44
"tatra kho bhagava bhikkhu amantesi",44
"vusita<U+1E41> brahmacariya<U+1E41>",44
"bho ra<U+1E6D><U+1E6D>hapala",43
"khi<U+1E47>a ja",43
"te bhikkhu bhagavato paccassosu<U+1E41>",43
"yathabhuta<U+1E41> abbhaññasi<U+1E41>",42
"kusala dhamma parihayan",41
"na kho",41
"ehi tva<U+1E41>",40
"kusala dhamma abhiva<U+1E0D><U+1E0D>han",40
"aroga<U+1E41> para<U+1E41> mara<U+1E47>a",39
"so eva<U+1E41> pajana",39
"<U+1E41> paññavimut",38
"dhamme aveccappasadena samannagato",38
"neta<U+1E41> <U+1E6D>hana<U+1E41> vijja",38
"saretva ekamanta<U+1E41> nisidi",38
"so evamaha",38
"<U+1E6D>hanameta<U+1E41> vijja",37
"evañhi te",37
"katama ca",37
"ujugatassa di<U+1E6D><U+1E6D>hi",37
"katamo ca",36
"tassa bhavan",36
"bho ananda",35
"ime kho",35
"atha khvaha<U+1E41>",34
"pata pa<U+1E6D>ivirato ho",34
"ariyasavako sammadi<U+1E6D><U+1E6D>hi ho",33
"para<U+1E41> vambhe",33
"so i",33
"bhikkhuna teneva pi",32
"sassa ho",32
"tassa evamassa",32
"aka<U+1E45>kheyya ce",31
"ko ho",31
"pharitva adhimuccitva vihara",31
"yassatthaya kulaputta sammadeva agarasma anagariya<U+1E41> pabbajan",31
"<U+1E41> sagga<U+1E41> loka<U+1E41> upapajja",30
"ekampi ja",30
"pamojjena vihatabba<U+1E41> ahorattanusikkhina kusalesu dhammesu",30
"<U+1E41> vinipata<U+1E41> niraya<U+1E41> upapajja",29
"avuso niga<U+1E47><U+1E6D>ha",29
"aya<U+1E41> kho",29
"bho kaccana",29
"evameva kho me",29
"ki<U+1E41> pana",29
"neta<U+1E41> <U+1E6D>hana<U+1E41> vijjati",29
"upasa<U+1E45>kamitva bhagavata saddhi<U+1E41> sammodi",29
